,Constant,Pregnancies,Glucose,BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Age
p-values,9.16E-32,0.000122964,2.51E-21,0.01107207,0.928515208,0.186065157,2.76E-09,0.001579978,0.111191951
cause/effect,,Cause,Effect,effect?,Cause/cyclic,Effect,cause/cyclic,Cause,Cause
,8.404696367,-0.123182298,-0.035163715,0.013295547,-0.000618964,0.001191699,-0.08970097,-0.945179741,-0.014869005
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CoeffCorrelation,,,,,,,,,
,1,-0.062710768,-0.521824702,-0.182385078,0.005247974,0.166411038,-0.584349384,-0.214950365,-0.22695773
,-0.062710768,1,0.104203764,-0.075265247,0.003670437,0.032992511,0.067816316,0.068734233,-0.486125598
,-0.521824702,0.104203764,1,-0.108762426,0.1561422,-0.365965193,-0.024855109,0.058458348,-0.179913364
,-0.182385078,-0.075265247,-0.108762426,1,-0.174946168,0.048175383,-0.186612024,0.003977654,-0.184631779
,0.005247974,0.003670437,0.1561422,-0.174946168,1,-0.428988142,-0.285675165,-0.089493069,0.096049088
,0.166411038,0.032992511,-0.365965193,0.048175383,-0.428988142,1,0.009330391,-0.077426181,0.057950574
,-0.584349384,0.067816316,-0.024855109,-0.186612024,-0.285675165,0.009330391,1,0.009671492,0.082100448
,-0.214950365,0.068734233,0.058458348,0.003977654,-0.089493069,-0.077426181,0.009671492,1,-0.040586691
,-0.22695773,-0.486125598,-0.179913364,-0.184631779,0.096049088,0.057950574,0.082100448,-0.040586691,1
,,,,,,,,,
CoeffCovariance,,,,,,,,,
,0.51356699,-0.00144159,-0.001386902,-0.000684052,2.59E-05,0.000107477,-0.00631818,-0.046081017,-0.001518267
,-0.00144159,0.001028969,1.24E-05,-1.26E-05,8.12E-07,9.54E-07,3.28E-05,0.000659568,-0.000145564
,-0.001386902,1.24E-05,1.38E-05,-2.11E-06,4.00E-06,-1.22E-06,-1.39E-06,6.49E-05,-6.23E-06
,-0.000684052,-1.26E-05,-2.11E-06,2.74E-05,-6.32E-06,2.27E-07,-1.47E-05,6.23E-06,-9.02E-06
,2.59E-05,8.12E-07,4.00E-06,-6.32E-06,4.76E-05,-2.67E-06,-2.97E-05,-0.000184707,6.19E-06
,0.000107477,9.54E-07,-1.22E-06,2.27E-07,-2.67E-06,8.12E-07,1.27E-07,-2.09E-05,4.88E-07
,-0.00631818,3.28E-05,-1.39E-06,-1.47E-05,-2.97E-05,1.27E-07,0.000227636,4.37E-05,1.16E-05
,-0.046081017,0.000659568,6.49E-05,6.23E-06,-0.000184707,-2.09E-05,4.37E-05,0.089489203,-0.000113338
,-0.001518267,-0.000145564,-6.23E-06,-9.02E-06,6.19E-06,4.88E-07,1.16E-05,-0.000113338,8.71E-05
